StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,HUB_01,MOTIVATION_01,MOTIVATION_01_8_TEXT,PROFICIENCY_01,PROFICIENCY_02,PROFICIENCY_03,PROFICIENCY_05,PROFICIENCY_04,PRIOR_01,PRIOR_02,PRIOR_02_17_TEXT,PRIOR_05,PRIOR_06,PRIOR_06_3_TEXT,PRIOR_07,PRIOR_04,BELONG_01,BELONG_02,MENTOR_02,MENTOR_03,MENTOR_06_1,MENTOR_06_2,MENTOR_06_3,MENTOR_06_4,MENTOR_06_5,MENTOR_06_6,MENTOR_07_1,MENTOR_07_2,MENTOR_07_3,MENTOR_07_4,MENTOR_07_5,MENTOR_08,ACCESS_01,ACCESS_01_7_TEXT,PLANS_01,PLANS_02,PLANS_02_9_TEXT,PLANS_03,INTEREST_01,INTEREST_02,INTEREST_03,INTEREST_04,INTEREST_05,INTEREST_06,TESTIMONIAL,CALNETUSER
2026-05-08 09:52:42,2026-05-08 09:56:05,IP Address,136.152.214.80,100,202,True,2026-05-08 09:56:06,R_1dFAO0vwkUOwn5m,,,,REDACTED,37.8657,-122.2571,anonymous,EN,CICI,"To engage in more active learning compared to the traditional classroom experience (e.g., reading textbooks with no application),To shape knowledge, not just consume it,To gain hands-on skills,To explore career interests,To build mentorship connections,To prepare for graduate school",,Very Good,Very Good,Very Good,Fair,Good,Yes,"Another program on campus (URAP, SURF, Rose Hills, Haas Scholars, UCDC)",,,"Another program on campus (URAP, SURF, Rose Hills, Haas Scholars)",,,,Agree,Somewhat Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,1-2 hrs/wk,My academic workload and responsibilities,,"Yes, in the same group.",,,Strongly considering,Yes,,Year with possibility of extending into summer,July,August,,,REDACTED
2026-05-08 09:57:33,2026-05-08 09:59:16,IP Address,136.152.214.128,100,103,True,2026-05-08 09:59:17,R_5R3sQNiUKrBflWC,,,,REDACTED,37.8657,-122.2571,anonymous,EN,CICI,To make my undergraduate experience complete,,Excellent,Excellent,Excellent,Excellent,Excellent,No,,,,Reaching out directly to a professor,,"Really loved the topic! ",,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,Agree,Strongly Agree,1-2 hrs/wk,"My academic workload and responsibilities,Financial concerns (e.g., related expenses, need for paid work left no time for something that feels 'extra')",,No.,"Professional practice.,Teaching / education.,Government / nonprofit.",,Position secured or offered accepted,Yes,,Year long,August,August,,,REDACTED
2026-05-08 10:09:23,2026-05-08 10:13:31,IP Address,136.152.214.233,100,247,True,2026-05-08 10:13:31,R_6Cr47IdGI8Q1LUi,,,,REDACTED,37.8657,-122.2571,anonymous,EN,NASA Space Biosciences,"To make my undergraduate experience complete,To engage in more active learning compared to the traditional classroom experience (e.g., reading textbooks with no application),To shape knowledge, not just consume it,To gain hands-on skills,To explore career interests,To build mentorship connections,To prepare for graduate school",,Very Good,Very Good,Very Good,Good,Very Good,Yes,Other,,"Working with a professional team, PhD student, scientists ","Reaching out directly to a professor,Another program on campus (URAP, SURF, Rose Hills, Haas Scholars)",,Interesting project,"Opened my eyes to intersectional topics ",Strongly Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,3-4 hrs/week,My academic workload and responsibilities,,"Yes, in the same group.",,,Strongly considering,Yes,,Year long,June,July,,,REDACTED
2026-05-08 10:13:21,2026-05-08 10:20:52,IP Address,136.152.214.0,100,450,True,2026-05-08 10:20:52,R_3rx6GmxNPV3ZbFc,,,,REDACTED,37.8657,-122.2571,anonymous,EN,NASA Space Biosciences,"To engage in more active learning compared to the traditional classroom experience (e.g., reading textbooks with no application),To shape knowledge, not just consume it,To gain hands-on skills,To explore career interests,To build mentorship connections,To prepare for graduate school",,Fair,Fair,Very Good,Excellent,Very Good,No,,,,"Another program on campus (URAP, SURF, Rose Hills, Haas Scholars)",,"I thought it fit my views most closely ",It extended my skills in AI,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,3-4 hrs/week,"My academic workload and responsibilities,My job responsibilties and work hours,My family responsibilities/commitments",,"Yes, in the same group.",,,Generally considering,Yes,"If it was more engineering related ",Year long,June,April,,"I don’t know ",REDACTED
2026-05-08 10:22:52,2026-05-08 10:27:58,IP Address,136.152.214.82,100,305,True,2026-05-08 10:27:59,R_1EzOMtsFZ08MfAR,,,,REDACTED,37.8657,-122.2571,anonymous,EN,NASA Space Biosciences,"To make my undergraduate experience complete,To engage in more active learning compared to the traditional classroom experience (e.g., reading textbooks with no application),To gain hands-on skills,To explore career interests,To build mentorship connections",,Good,Good,Good,Good,Good,No,,,,Reaching out directly to a professor,,"I didn’t get other research opportunities ","I learned the structure of research
",Somewhat Agree,Somewhat Agree,Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,1-2 hrs/wk,"My academic workload and responsibilities,My job responsibilties and work hours",,"Yes, in the same group.",,,Actively appREDACTEDg,Yes,If there was something more aligned with my major,Year long,April,April,,,REDACTED
2026-05-08 10:30:18,2026-05-08 10:33:23,IP Address,172.59.128.230,100,185,True,2026-05-08 10:33:24,R_50eGVsbheXy0nNN,,,,REDACTED,37.7585,-122.1856,anonymous,EN,NASA Space Biosciences,"To explore career interests,To build mentorship connections,To prepare for graduate school",,Excellent,Excellent,Excellent,Excellent,Excellent,Yes,Friend or acquaintance connected me to a research group,,Idk man,Reaching out directly to a professor,,Idk man,Idk man,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,More than 5 hrs/week,My academic workload and responsibilities,,"Yes, in the same group.",,,Position secured or offered accepted,Yes,Idk man,Year with possibility of extending into summer,March,August,N/A,N/a,REDACTED
2026-05-08 10:30:31,2026-05-08 10:34:16,IP Address,136.152.214.142,100,225,True,2026-05-08 10:34:17,R_5Bd2t5U8N5LN9Tj,,,,REDACTED,37.8657,-122.2571,anonymous,EN,NASA Space Biosciences,"To make my undergraduate experience complete,To gain hands-on skills,To explore career interests",,Good,Excellent,Fair,Good,Very Good,No,,,,"Another program on campus (URAP, SURF, Rose Hills, Haas Scholars)",,,,Somewhat Agree,Strongly Agree,Somewhat Agree,Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,3-4 hrs/week,"Financial concerns (e.g., related expenses, need for paid work left no time for something that feels 'extra')",,"Yes, in the same group.",,,Strongly considering,Yes,,Year with possibility of extending into summer,March,March,,,REDACTED
2026-05-08 10:52:40,2026-05-08 11:00:56,IP Address,136.152.214.127,100,495,True,2026-05-08 11:00:57,R_6DO9DyFTnsxivpD,,,,REDACTED,37.8657,-122.2571,anonymous,EN,Kavli ENSI,To prepare for graduate school,,Fair,Very Good,Very Good,Very Poor,Fair,Yes,Reached out directly to a professor,,"This allows more hands on experiences allowing me to take more initiative ","Reaching out directly to a professor,Another program on campus (URAP, SURF, Rose Hills, Haas Scholars)",,I thought it involved special mentorship which is unique.,It allowed me to gain insight in a new field I didn’t know much about. It helps prepare me with future endeavors.,Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Agree,Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,More than 5 hrs/week,"My academic workload and responsibilities,My job responsibilties and work hours,My family responsibilities/commitments",,"Yes, in the same group.",,,Exploring options,Yes,,Year with possibility of extending into summer,May,July,,,REDACTED
2026-05-08 10:58:12,2026-05-08 11:03:23,IP Address,136.152.214.130,100,311,True,2026-05-08 11:03:24,R_5DS7zxcEx9G3Bcf,,,,REDACTED,37.8657,-122.2571,anonymous,EN,Kavli ENSI,To explore career interests,,Good,Good,Fair,Good,Good,Yes,Reached out directly to a professor,,,,,,,Somewhat Agree,Agree,Agree,Agree,Somewhat Agree,Agree,Agree,Agree,Somewhat Disagree,Agree,Agree,Agree,Agree,Agree,Agree,More than 5 hrs/week,My academic workload and responsibilities,,"Yes, in the same group.",,,Position secured or offered accepted,Yes,,Year with possibility of extending into summer,July,August,,,REDACTED
2026-05-08 11:00:46,2026-05-08 11:03:55,IP Address,146.75.136.171,100,189,True,2026-05-08 11:03:56,R_10lag69duPVY7jJ,,,,REDACTED,37.3651,-122.0383,anonymous,EN,NASA Space Biosciences,"To engage in more active learning compared to the traditional classroom experience (e.g., reading textbooks with no application),To shape knowledge, not just consume it,To gain hands-on skills",,Very Good,Very Good,Very Good,Very Good,Good,No,,,,Reaching out directly to a professor,,Best program for me.,"Lots of work, lots of skills gained.",Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,3-4 hrs/week,"My academic workload and responsibilities,My family responsibilities/commitments,Financial concerns (e.g., related expenses, need for paid work left no time for something that feels 'extra')",,"Yes, in the same group.",,,Actively appREDACTEDg,Yes,,Year long,May,July,,,REDACTED
2026-05-08 11:13:57,2026-05-08 11:29:08,IP Address,172.226.212.110,100,911,True,2026-05-08 11:29:09,R_7wKzU5s3diTLB5z,,,,REDACTED,37.9044,-122.0589,anonymous,EN,CICI,"To make my undergraduate experience complete,To build mentorship connections,To prepare for graduate school",,Very Good,Very Good,Very Good,Very Good,Very Good,No,,,,"Another program on campus (URAP, SURF, Rose Hills, Haas Scholars)",,,,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,1-2 hrs/wk,"My academic workload and responsibilities,My job responsibilties and work hours",,"Yes, in the same group.",,,Actively appREDACTEDg,Yes,,Semester long,May,July,,,REDACTED
2026-05-08 11:28:11,2026-05-08 11:32:59,IP Address,107.127.14.8,100,287,True,2026-05-08 11:32:59,R_5N2kbWIjY7ty8wk,,,,REDACTED,37.7958,-122.4203,anonymous,EN,,"To make my undergraduate experience complete,To engage in more active learning compared to the traditional classroom experience (e.g., reading textbooks with no application)",,Very Good,Excellent,Fair,Poor,Excellent,Yes,Reached out directly to a professor,,"I got this chance of final presentation and exercise myself ",Reaching out directly to a professor,,Exercise myself,"Learn new things, exercise my presentation skill",Somewhat Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,1-2 hrs/wk,My academic workload and responsibilities,,"Yes, in the same group.",,,Actively appREDACTEDg,"I would be interested, but I am not eligible due to graduating this semester",,Semester long,April,May,,,REDACTED
